advertiser_id,vvs_base,vvs_post,convs_base,convs_post,spend_base,spend_post,ov_base,ov_post,conv_rate_base,conv_rate_post,delta_conv_rate_rel,roas_base,roas_post,delta_roas_rel,aov_base,aov_post,delta_aov_rel,pp_share_base,pp_share_post,delta_pp_share,is_pp_new_adopter,is_pp_continuing,is_non_adopter
34265,2690124,494650,9574,4822,24605.836959,4419.011579,5240445,3273332.96,0.003558943751291762,0.00974830688365511,1.7391011392402147,212.975685758,740.738715317,2.478043574,547.362126593,678.833048528,0.240190023,0.0,0.0,0.0,false,false,true
33554,172090,189240,37,77,1376.234438,1080.701733,7515,17772.5,2.1500377709338136E-4,4.0689072077784824E-4,0.8924817334772948,5.460552209,16.445333118,2.011661182,203.108108108,230.811688312,0.136398199,0.0,0.0,0.0,false,false,true
40201,298365,45594,0,0,2864.390346,421.597737,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
45797,84611,2860,30,3,871.849402,26.786438,0,0,3.5456382739832885E-4,0.001048951048951049,1.9584265734265731,0,0,,0,0,,0.0,0.0,0.0,false,false,true
35803,369404,79858,523,320,3343.734824,690.823369,69310.7,88765,0.00141579408993947,0.004007112624909214,1.8302933692006946,20.728527724,128.4916,5.198780816,132.525239006,277.390625,1.093115448,0.0,0.0,0.0,false,false,true
33649,322147,264915,1,0,3119.222581,2252.067928,0,0,3.1041729396828158E-6,0.0,-1.0,0,0,,0,,,0.0,0.0,0.0,false,false,true
45397,31491,5247,0,0,286.634886,47.051314,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
40580,352895,92216,9,0,3290.005237,841.409879,0,0,2.5503336686549825E-5,0.0,-1.0,0,0,,0,,,0.0,0.0,0.0,false,false,true
44965,291135,182611,0,0,2848.493182,1694.241918,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
37498,237850,122593,12,29,2182.387036,1085.121534,3479.87,6018.43,5.045196552449022E-5,2.3655510510388033E-4,3.688719312413162,1.594524684,5.546318833,2.478352445,289.989166667,207.532068966,-0.284345442,0.0,0.0,0.0,false,false,true
